
=== AGV maze solver ===
RESET: power-on BROWNOUT  raw=5 
calibrating gyro, hold still...
offZ=-85 offX=-248 offY=-25 
# st,L,F,R,lok,rok,near,md,br,err,wt,gt,corr,pwmL,pwmR,rock,rate,gx,gy,ovr,drop
0,9,17,15,1,1,0,0,0,0,0,0,0,0,0,0,9,-251,0,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,-20,-250,-32,1,0
0,8,16,15,1,1,0,0,0,0,0,0,0,0,0,0,9,-248,-14,1,0
0,8,16,15,1,1,0,0,0,0,0,0,0,0,0,0,-19,-244,-28,1,0
0,8,16,15,1,1,0,0,0,0,0,0,0,0,0,0,26,-269,-21,1,0
0,8,17,15,1,1,0,0,0,0,0,0,0,0,0,0,-126,-216,17,1,0
0,8,18,15,1,1,0,0,0,0,0,0,0,0,0,0,-531,-600,-29,1,0
0,8,18,15,1,1,0,0,0,0,0,0,0,0,0,0,-4,-193,-51,1,0
0,9,18,15,1,1,0,0,0,0,0,0,0,0,0,0,891,-293,71,1,0
0,9,18,15,1,1,0,0,0,0,0,0,0,0,0,0,-3356,-963,-370,1,0
0,9,18,15,1,1,0,0,0,0,0,0,0,0,0,1,-1486,-2588,3996,1,0
0,10,21,13,1,1,0,0,0,0,0,0,0,0,0,1,-553,-632,1511,1,0
0,12,23,12,1,1,0,0,0,0,0,0,0,0,0,1,84,5725,17,1,0
0,14,26,10,1,1,0,0,0,0,0,0,0,0,0,1,-1578,6497,431,1,0
